datum;idopont;ertek(ft);aruhaz
2023-08-09;13:01;1990;Auchan
2023-05-08;02:06;16206;Aldi
2023-12-19;02:12;9808;Aldi
2023-01-19;02:05;14503;Penny
2023-09-30;06:38;16591;Penny
2023-07-21;06:05;1270;Tesco
2023-07-26;08:55;2308;Tesco
2023-01-22;03:10;11548;Aldi
2023-08-25;08:01;15220;Spar
2023-06-22;19:57;9030;Tesco
2023-11-12;03:36;18199;Lidl
2023-02-09;12:51;19141;Auchan
2023-02-18;03:24;13629;Spar
2023-04-01;22:47;19871;Tesco
2023-03-27;06:37;14452;Penny
2023-01-10;00:52;17154;Aldi
2023-06-01;02:27;1380;Aldi
2023-12-02;10:01;16126;Spar
2023-08-01;19:21;17550;Lidl
2023-10-20;22:08;18999;Spar
2023-09-26;23:28;670;Aldi
2023-07-03;13:06;3862;Lidl
2023-12-26;00:04;19561;Penny
2023-10-16;05:20;3305;Tesco
2024-02-01;05:06;9217;Lidl
2023-03-06;01:19;527;Lidl
2023-08-07;21:48;11543;Spar
2023-08-07;11:01;4056;Auchan
2023-10-10;03:36;7863;Tesco
2023-11-29;14:55;9843;Spar
2023-03-21;00:17;12561;Lidl
2023-01-28;11:49;2955;Tesco
2024-01-14;03:16;16072;Spar
2023-07-25;04:44;9210;Penny
2023-06-02;20:00;11536;Aldi
2023-08-22;22:42;2898;Spar
2023-10-01;00:15;16949;Aldi
2023-12-22;03:16;2057;Lidl
2024-01-27;01:08;10483;Tesco
2024-01-28;19:52;12007;Auchan
2024-02-04;18:55;2060;Lidl
2023-10-07;01:49;3364;Auchan
2024-01-09;03:10;932;Lidl
2023-07-01;19:01;1160;Spar
2024-02-24;11:41;18266;Lidl
2024-02-14;07:48;8251;Lidl
2023-12-16;19:08;15123;Aldi
2023-05-11;22:31;722;Aldi
2023-07-13;13:59;16135;Lidl
2024-02-01;08:23;9608;Spar
2023-04-17;13:43;14634;Lidl
2023-08-30;05:30;15255;Lidl
2023-01-08;06:25;2296;Tesco
2023-03-09;08:41;19389;Tesco
2023-07-31;05:19;10848;Auchan
2023-09-22;06:06;11237;Tesco
2023-10-17;00:04;12721;Tesco
2023-01-03;11:28;19374;Spar
2023-03-14;21:22;9978;Auchan
2023-02-17;14:26;4720;Aldi
2023-09-21;09:13;8699;Tesco
2024-01-21;16:14;10283;Auchan
2023-07-10;02:30;3280;Aldi
2023-04-29;10:02;4953;Spar
2023-03-18;07:56;8440;Lidl
2024-01-12;13:20;8558;Penny
2023-03-03;04:46;8352;Aldi
2023-10-16;08:37;2369;Spar
2023-08-18;01:42;13426;Lidl
2023-10-12;01:09;12228;Tesco
2023-05-11;20:50;7430;Tesco
2024-01-28;05:53;692;Penny
2023-12-25;19:05;6988;Penny
2023-10-20;22:17;13216;Auchan
2024-02-21;23:07;14418;Penny
2024-02-19;07:59;19710;Tesco
2023-08-06;03:32;11763;Auchan
2023-07-14;13:04;14409;Tesco
2023-07-08;14:52;16259;Auchan
2023-04-22;09:20;4851;Auchan
2023-08-24;07:55;15900;Aldi
2024-03-01;01:25;19659;Tesco
2023-03-24;18:25;9322;Spar
2023-06-30;12:57;6051;Penny
2023-06-22;18:18;13332;Spar
2023-04-29;12:02;18163;Spar
2023-06-04;05:49;1985;Auchan
2023-05-04;06:03;12125;Auchan
2023-07-23;12:55;11535;Penny
2023-07-22;05:51;8256;Penny
2023-12-10;17:01;17298;Auchan
2023-06-28;17:02;14054;Lidl
2024-01-22;08:47;17193;Aldi
2024-01-31;07:24;11334;Penny
2023-12-19;20:45;13401;Penny
2023-04-18;06:05;11078;Tesco
2023-10-06;10:26;8054;Spar
2023-04-26;10:43;3790;Tesco
2023-01-14;01:13;18643;Penny
2023-10-08;10:04;1563;Tesco
2023-10-25;00:30;19469;Lidl
2023-11-15;21:18;6798;Penny
2024-02-06;21:51;18003;Penny
2023-07-07;17:14;5277;Tesco
2023-05-21;23:58;17144;Auchan
2023-09-17;05:33;10099;Lidl
2023-10-15;12:03;4087;Auchan
2023-03-17;01:06;16420;Penny
2023-04-12;14:29;10701;Spar
2023-06-12;19:09;12729;Lidl
2023-01-07;05:44;3872;Penny
2024-02-01;16:45;19256;Spar
2023-11-18;04:12;6690;Spar
2023-03-23;08:41;18138;Tesco
2023-08-06;18:25;18540;Lidl
2023-07-29;16:33;2971;Lidl
2023-02-23;16:42;4086;Aldi
2023-07-22;10:02;18118;Spar
2024-01-24;13:14;2205;Lidl
2023-05-20;05:10;7024;Auchan
2023-09-21;13:34;9094;Auchan
2023-10-14;15:37;16126;Auchan
2023-05-07;05:21;11658;Tesco
2024-01-25;08:48;5123;Tesco
2023-03-01;21:44;16701;Aldi
2023-07-16;19:09;4384;Auchan
2023-09-29;01:54;6293;Tesco
2023-07-03;15:31;18503;Auchan
2023-09-23;21:54;3072;Penny
2023-11-08;02:01;16408;Tesco
2023-10-01;23:29;17573;Lidl
